bus,p_nom,p_min_pu,type
St Fergus,0.0,1,Biomass gasification
Grangemouth,0.0,1,Biomass gasification
Teesside,0.0,1,Biomass gasification
Humberside,0.0,1,Biomass gasification
Theddlethorpe,837.1385083713851,1,Biomass gasification
Merseyside,0.0,1,Biomass gasification
Barrow,0.0,1,Biomass gasification
Bacton,837.1385083713851,1,Biomass gasification
Grain LNG,837.1385083713851,1,Biomass gasification
Southampton,837.1385083713851,1,Biomass gasification
South Wales,837.1385083713851,1,Biomass gasification
